"識別ID","回答日時","セグメント","タグ","現在の職場で働くことを親しい友人や知人に、どの程度おすすめしたいと思いますか？ ※周囲に転職を検討されている友人・知人の方がいると仮定してお答えください","NPS要因 - 会社の理念やビジョン","影響理由 - 会社の理念やビジョン","NPS要因 - 会社の安定性・将来性","影響理由 - 会社の安定性・将来性","NPS要因 - 店舗/部門目標への共感","影響理由 - 店舗/部門目標への共感","NPS要因 - 顧客/お取引先との関係","影響理由 - 顧客/お取引先との関係","NPS要因 - 仕事の量","影響理由 - 仕事の量","NPS要因 - 自身が受ける評価","影響理由 - 自身が受ける評価","NPS要因 - 報酬(金額)","影響理由 - 報酬(金額)","NPS要因 - 成長の実感","影響理由 - 成長の実感","NPS要因 - 上司・上長との関係","影響理由 - 上司・上長との関係","NPS要因 - 同僚との関係","影響理由 - 同僚との関係","NPS要因 - PAとの関係","影響理由 - PAとの関係","NPS要因 - 店舗とHOMEの関係","影響理由 - 店舗とHOMEの関係","NPS要因 - 仕事のやりがい","影響理由 - 仕事のやりがい","NPS要因 - 福利厚生","影響理由 - 福利厚生","NPS要因 - 店舗/職場の清潔さ","影響理由 - 店舗/職場の清潔さ","NPS要因 - 会社の風土","影響理由 - 会社の風土","NPS要因 - 社会に対する事業の貢献度","影響理由 - 社会に対する事業の貢献度","NPS要因 - 会社・ブランドの知名度","影響理由 - 会社・ブランドの知名度","NPS要因 - 労働時間","影響理由 - 労働時間","NPS要因 - 昇給のしやすさ","影響理由 - 昇給のしやすさ","NPS要因 - 昇格のしやすさ","影響理由 - 昇格のしやすさ","NPS要因 - 業務における裁量","影響理由 - 業務における裁量","NPS要因 - 会社が用意する研修","影響理由 - 会社が用意する研修","NPS要因 - ツールや設備・インフラの整備","影響理由 - ツールや設備・インフラの整備","NPS要因 - ユニフォーム/服装のルール","影響理由 - ユニフォーム/服装のルール","現在、実際に今の職場への採用応募をすすめたい方はどれぐらいいますか？","今の職場でどの程度長く働きたいと思いますか？","総活躍企画のバームクーヘンについてどう思いますか？","上記の回答を選んだ理由を教えてください。","権限委譲の現状についてどう思いますか？","上記の回答を選んだ理由を教えてください。","会社の副業のルール（会社の許可を取った場合のみ副業可 能）を知っていますか？","今後副業をしたいですか？","今後副業をするとしたら、どんな目的ですか？","副業をするとしたら、具体的にどんなことをしたいですか？","IPアドレス","UserAgent"
"89hOjoLre8","2019/06/13 12:00:48","セグメントなし","","2","マイナスに影響した","リネンやビジョンそのものには共感しているが、それらが日々の業務や会社としての方針、取り組みに反映されていないように感じる部分があるから。","マイナスに影響した","数年前に比べて、世の中に「食」を扱うブランドやコンテンツが増え、小さい規模で、専門性を絞って強みを打ち出したり、「魅せ方」に特化した他社が多くなってきている今、改めて今後ブランドとしての他社との差別化、強み、私たちが選ばれる商品、サービス、ブランド価値を維持し続けられるのか。そこに対して、会社が向き合っているのか不安になることがあるから。会社としての仕組みや制度を整えることはもちろん大切だし、外部との取り組みも必要だと思うけれど、「食のブランド」「本業である小売店」としての価値や意義を会社全体で取り組んでいけるようになったらいいと思う。そうでないと、残っていけないのでは、と思う。","マイナスに影響した","「既存店を磨く」やバウムクーヘンの実施など、掲げているものの本質的解決につながっていないように感じるところがあるから。","影響しなかった","","マイナスに影響した","営業側の突発的な企画に対して、販促、デザイン制作チームが最終的に納期に間に合わせるために業務が短期に集中する。また、業務が集中する人、しない人の二分化が大きくなってきていると感じる。それが、働き方として「効率が悪い」と一蹴されるのは違うと思う。実際に、担当によって業務量に偏りが生じるのているのは必然だと思うので、均してほしいというのではなく、その分の評価と「理解」が伴ったらよいと思う。","マイナスに影響した","評価されているとの実感はない。ある一定の層に入れない限りは、評価はほぼ変わらない。新しいプロジェクト（社内的にも目立つこと）をした人は評価されやすいように感じる。日々、毎日の営業を続けるために、継続した地道な業務がたくさんあるのにそれは、「ルーティン」と一括されて評価に値していないように感じる。そこを大切にできない会社なのだとしたら悲しい。","マイナスに影響した","せっかくのボーナスも、会社制度変更による繰り越しになってしまったり、業績が厳しいから仕方ないということはわかるが、今後働き続けても、収入が大きく変わることはないと感じる。","マイナスに影響した","会社の成長とは何のか。店舗数が増えることや外部プロジェクトなどがすすむことが会社の成長なのか。新店が軒並み苦戦していたり、新店を出す度に人員不足が深刻になっていくのを見ていると、何のために出店を続けるのか疑問がある。今、あるお店をひとつひとつ丁寧に向き合い、本当に業績があがっていく「体験」をしないと成長の実感は得られないと思う。様々な企画も焼き直しが増えてきていて、新しい取り組みができないくらい体制的に疲弊しているように感じる。","マイナスに影響した","上長としてチームを持っているのなら、チームづくりやマネジメントを、人によって対応が変わったり、手放したりしないでほしい。（あくまで主観ですが）上長が気持ちよく働けるチームを作っているわけではないので、好き、嫌いでの評価やアサイン、やりたくないことは「任せる体（てい）」で業務を振ったりするのではなく、どうしたらチームが良くなるのかを組織改編などの極論ではなく、考えたり、取り組んでほしい。チーム内のメンバーに均等にチャンスを与えてほしい。そもそも上長が課せられているミッションや評価がこちらにはわからないが、マネジメントを課されているのか、個人としてのプロジェクト遂行を達成すれば評価されているのか、どちらなのでしょうか。
それと、業務時間外の早朝や深夜のwowは緊急時以外は避けてほしい。","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","ややマイナスに影響した","","非常にマイナスに影響した","碑文谷オフィスに移転してまもなく1年になるが、確実に異音や揺れが激しくなっている。会社はその事実に気づいていますでしょうか。これから先も、ずっとここがオフィスなのでしょうか。","マイナスに影響した","ある一定の層がこの会社のすべて。","影響しなかった","","影響しなかった","","非常にマイナスに影響した","制度はどんどん整い、労働時間を強制されることも、振替休日も取れる制度になっているが、それに準じた働き方ができていない自分の課題が大きい。","非常にマイナスに影響した","実感はない。","非常にマイナスに影響した","他社でのキャリアを持つ方の入社も増えているので、専門のスキルを持っている人が多くなり、専門的スキルがない人は、評価や昇格はできないように感じる。上の層も厚い。","非常にマイナスに影響した","自分の力不足が原因だが、ブランド表現など、「任せられる」と言ってもらえるほどになれていないので、いつも他の人の正解に近づけるかを模索している。","非常にマイナスに影響した","中堅層向けの研修は特にない。
サービスの研修などではなく、
新たな食の体験ができる機会や、先日のフォンス様 社長の講演や、同業他社との交流会など、自分で他社のワークショップなどに参加するのとは違い、個人では体験できない会社が主催するからこそできる体験が出来たらうれしい。「食の仕事」や表現を学べる機会があると実務へのモチベーションがあがると思う。","非常にマイナスに影響した","本社が2か所に分かれているのは効率的なのか。同じオフィスにあれば、もっと連携・共有できることがあると思う。","影響しなかった","","いない","１年以上3年以内くらい","良い企画だったとは思わない。","経営陣の皆様が店舗訪問やメンバーを知るきっかけになったり、メンバーひとりひとりのパーソナルがみえたり、いいこともあったのだと思うけれど、会社がバームクーヘンをしている「コト」に満足しているように感じた。（偏見だったらすみません。）","進んでいるようには感じない。","今年の組織改編を見る限り、権限移譲を促進しているようには思えなかった。任せてもらえいないということは、根本的に信頼してもらえていないのだと感じる。","知っている","どちらともいえない","","ライティング","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"UZf0nGzIrT","2019/06/13 11:48:29","セグメントなし","","1","影響しなかった","","ややマイナスに影響した","強化したい部署や新しいことに挑戦するための組織体制や人員戦略が戦略的ではないように感じる。","ややマイナスに影響した","具体的な目標や戦略、現場へのフォローがなかったり色々なことをぬるぬる進めてしまう事業部内の体制見直しが必要に思う。クリエティブがないのは現場だけではなく、今のHOMEの体制も店舗を振り回してしまっているように感じる。","影響しなかった","","ややマイナスに影響した","通常業務に30周年、オンライン関連が一気に重なってキャパシティを超えることが多々あるがヘルプを出せる人員体制がないため、一人で抱えている。評価もされずオープンになっていない仕事（ジラフや木更津）をもやもやしながらやっており優先度も下がってしまうため、事業として人員体制を整えてほしい。","ややマイナスに影響した","自分で啓蒙活動をしていかなくてはならないと思ってはいるが、自分の仕事が理解されていないことが多いと感じる。","影響しなかった","","影響しなかった","","ややマイナスに影響した","営業視点だけでなく、人も商品も売り場もプロモーションも誰がブランドを俯瞰でみるのかという疑問。2週に1回くらいしかコミュニケーションをとる時間がないため、コミュニケーションが希薄。","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","ややマイナスに影響した","あがるポジションがない。","影響しなかった","","ややマイナスに影響した","長い店長も多く、ある程度のポジションになった人に対しても教育する研修制度があってもいいと思う。クリエイティブを大切にしている会社なので、時代に合わせてもっと柔軟に変化していかないと会社としての魅力がなくなってしまう。","ややマイナスに影響した","交通費や稟議書などの承認や決裁業務をデジタル上でできるようにならないか？事業部長とタイミング合わず印鑑がもらえないときなどは精算を諦めるしかない。","影響しなかった","","いない","今のところ退職は考えていない","良い企画だった。","店舗の温度感はブランドによっても違うかもしれないが、スレッド上ではいい話もあがっていた。
HOMEにはほとんど浸透していなかった。","しっかりと進んでいるように感じる。","権限委譲は進んでいると感じるが、それが無責任に感じる部分もある。具体的な基準がなく好きにやっていいよというのはまた違う気もする。","知らない","どちらともいえない","","今は具体的にはない。","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"i4AbwQpaHz","2019/06/13 11:14:51","セグメントなし","","4","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","ややマイナスに影響した","社員の仕事量が多く、入社した人がしっかりと日々の教育を受ける時間が足りないと感じたから。","影響しなかった","","ややマイナスに影響した","ボーナスや退職金の制度がまだ不安定だと感じるから。","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","ややマイナスに影響した","もう少し幅広い福利厚生がある方が、入社する人には魅力的的だと感じるので。","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","ややマイナスに影響した","労働時間と時間帯で、生活リズムが取りづらいので、おすすめする時はややマイナスに感じます。","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","いない","半年以上1年以内くらい","良い企画だった。","個々の目標を書き出すことで、プラスの言葉が集まり、目に見えることで目標に向かっていくように努力するから。","少しは進んでいるように感じる。","少しだけ目に見えてくる変化があるから。","知らない","したいとは思わない","","副業する予定がないので、思いつきません。","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"BOKdVsV5jy","2019/06/13 10:24:05","セグメントなし","","3","プラスに影響した","","ややプラスに影響した","年々店舗が増えていき、各カテゴリーの売上も上がっているから","影響しなかった","","影響しなかった","","マイナスに影響した","社員一人に対する負担が大きいと感じる","影響しなかった","","ややマイナスに影響した","店舗によって社員の人数、営業時間が違うのに少ない人数で回してる店舗は負担が大きい分、報酬が見合ってないような気がします。報酬以上に責任が大きい。","影響しなかった","","プラスに影響した","どの店舗、部署の方にお会いしても感じがよく嬉しいです。","影響しなかった","","プラスに影響した","社員の人数が少ない分、PAと協力し合うことでチームワークが生まれいい関係が築ける。","影響しなかった","","影響しなかった","","ややプラスに影響した","","ややマイナスに影響した","","影響しなかった","","プラスに影響した","","非常にプラスに影響した","DEAN &DELUCAの店舗がない地方の方も知っている","マイナスに影響した","日々残業をしており、営業時間も長い。","影響しなかった","","影響しなかった","","ややプラスに影響した","","ややマイナスに影響した","","影響しなかった","","プラスに影響した","","１人","半年以上1年以内くらい","非常に良い企画だった。","バウムリーダーとして活動させて頂きましたが、PAを巻き込んでのプロジェクトとしてとても良かったと思います。","少しは進んでいるように感じる。","","知らない","したいとは思わない","","","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"IK4dPQ7xSV","2019/06/13 09:59:47","セグメントなし","","6","ややプラスに影響した","自分の後輩に仕事を紹介するのに将来的に見て安心して勧められる","ややプラスに影響した","急速な店舗拡大を見直し。2020の虎ノ門と渋谷、さらにその先のプロジェクトなど。","影響しなかった","","ややプラスに影響した","","影響しなかった","","影響しなかった","","ややプラスに影響した","PAさんの報酬は他の飲食店に比べて高い方である","影響しなかった","","ややプラスに影響した","現場にもよりますが他の飲食店よりは良好なのでは。","ややプラスに影響した","歳の差もありますが特に問題ないので","ややプラスに影響した","社員バイトリーダーPAと仕事の流れが出来ている。","影響しなかった","","ややプラスに影響した","仕事に忙しさを感じる","影響しなかった","","ややプラスに影響した","まだ一周年と新しい店舗ではあるがシェフを中心に力を入れている。","ややプラスに影響した","","影響しなかった","","ややプラスに影響した","わかりやすさ。","ややプラスに影響した","他の飲食店に比べ労働時間が守られている。","ややプラスに影響した","昇給制度がある","ややプラスに影響した","昇給制度があるから。","ややプラスに影響した","","ややプラスに影響した","個人に必要な研修を与えてくれる","影響しなかった","","影響しなかった","","３人以上","今のところ退職は考えていない","良い企画だった。","自分で何か一つ目標を立て働くというやりがい","進んでいるようには感じない。","よくわからない","知らない","したい","ウェルカムでの業務以外でも自己研鑽を積みたい, 所得を増やしたい","","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"Yo34xJzN3j","2019/06/13 08:19:56","セグメントなし","","5","影響しなかった","","ややマイナスに影響した","人員が確保されない、安定しない。
","影響しなかった","","ややマイナスに影響した","現場でのお客様への対応や態度。
目が行き届いていない。

","影響しなかった","","マイナスに影響した","チーム内の人員が減り、業務が増える中、限られた時間で効率的に完了させてきた努力や、起こり得る危険回避のための策など、数値化しにくい部分の評価がないと感じる。","マイナスに影響した","やはり、残業できる人員への評価が高いと思う。","ややプラスに影響した","与えられる業務項目が増える事で、スキルは僅かながらでもあげられていると思う。
また、システムやパソコン操作も問題解決や効率を上げる事が目標の為、知識を持つ事が出来ていると感じる。","ややマイナスに影響した","","プラスに影響した","協力し合い、共感できるチームや、職場の同僚。
恵まれていると思う。","影響しなかった","","ややマイナスに影響した","個々とのコミュニケーションは非常に良いと思うが、業務の責任や協力体制は良好ではないと思う。
個人的には、営業のマネージャーとサブの負担割合に偏りがありすぎると感じる。営業マネージャーに業務負担がかかり過ぎている。","ややプラスに影響した","数値的な結果には直接結びつかないが、きちんと責任を持たせてくれている。","マイナスに影響した","そもそも、福利厚生に何があるかわからない。","非常にマイナスに影響した","店舗は、全てが景色になってしまうので、電気が切れていても、植物が枯れていても気がつけない。

HOMEは自分達での清掃で限界はある。
定期的に業者に依頼して欲しい。","ややマイナスに影響した","","マイナスに影響した","貢献している事を理解出来ていない。","影響しなかった","","影響しなかった","","マイナスに影響した","昇給を実感出来る程の昇給額ではないと思っています。","マイナスに影響した","業務は引き継いだが、ポジションは8年間変わらないまま。","影響しなかった","","マイナスに影響した","お金や時間ばかりかかっていると思う。
","非常にマイナスに影響した","新しいHOMEの環境は悪い。
振動や騒音、サーバーにもアクセス出来ない事もしばしば。
通勤するだけで、疲れてしまう距離。","影響しなかった","","いない","１年以上3年以内くらい","良い企画だったとは思わない。","最終、バウムの目的や趣旨がわからなくなった。
応援団長と私たちに温度差を感じた。","少しは進んでいるように感じる。","","知らない","したい","所得を増やしたい","","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"LC32PDKWeT","2019/06/13 02:51:52","セグメントなし","","5","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","マイナスに影響した","業務量が多いため、労働時間は長いと感じる。","影響しなかった","","マイナスに影響した","実績や業務内容に対して、報酬・昇給額ともに低いと感じる。","ややプラスに影響した","自分次第で可能性が広がる環境だと思うので、個人的には成長を実感できている。","影響しなかった","","ややプラスに影響した","人間関係が良好。風通しは良く感じる。","影響しなかった","","影響しなかった","","ややプラスに影響した","やりたいことを広げられる環境だと思う。","ややマイナスに影響した","福利厚生が少なく感じる。","影響しなかった","","ややプラスに影響した","自分次第で可能性を広げらる環境だと感じるから。","影響しなかった","","影響しなかった","","マイナスに影響した","業務量が多く、実際の労働時間が長いから。","マイナスに影響した","昇給の基準が見えないから。","マイナスに影響した","昇給の基準がみえないから。","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","いない","今のところ退職は考えていない","良い企画だったとは思わない。","業務量が多い中で、担当メンバーの業務かからに増えたように感じられたから。","少しは進んでいるように感じる。","スムーズに進みやすくなったように感じる。","知らない","どちらともいえない","","考えたことが","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"Y58xJKFKZS","2019/06/12 23:12:57","セグメントなし","","6","プラスに影響した","感性を共鳴するという考え方は、私の中でももともと大事にしている考え方で、人と共感し歩み寄り思いやることでより良い時間、関係を作り出す。そんな考えを仕事でも大事にして働くことができるのはここで働きたいと感じた理由の１つであったからです。","プラスに影響した","dean&delucaのブランド力はすごいなあと働く上で日々感じているのと、会社の色々な分野に取り組む力に、将来性のある会社だと感じております。私もその力の１つになれればと考えます。","プラスに影響した","各部門ごとの担当の方がそれぞれに売り上げを上げる為 満足度を上げる為、試行錯誤しチームワークで働く環境は素晴らしいと感じたからです。","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","ややプラスに影響した","研修であったりバームクーヘンであったり自分ができることが増えてそれを見直す機会があることに有り難く感じており、その度に自分自身のモチベーションも上げることができるので成長の実感も感じられるからです。","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","ややプラスに影響した","営業中の仕事量は多く忙しいですが、スムーズに作業が進んだときや、お店がまわっている時、達成した時、できることが増えた時には、そのぶんやりがいも感じながら働いているからです。","ややプラスに影響した","社員が安心して働くことのできる制度を用意して頂いているので、入社を決める時にも私自身も安心して入ることができました。","影響しなかった","","影響しなかった","","影響しなかった","","ややプラスに影響した","dean&delucaのブランド力は日々すごいものだと感じ仕事をしています。そのぶん責任感も増えますがそれは自分自身にもいい影響を与えて成長できると思うからです。","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","ややマイナスに影響した","好きなこと、個性を求める方にはおすすめできないと感じたからです。","いない","今のところ退職は考えていない","非常に良い企画だった。","自身を見つめなおすいい機会であると思うのと、他のスタッフの目標を見ていい刺激にもなると思います。","少しは進んでいるように感じる。","入社まもない私にも役割を与えて下さることにやりがい責任感も感じることができるからです。","知らない","したいとは思わない","","副業を考えたことがないので思いつきません。","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"2XyTtJksQ1","2019/06/12 22:37:09","セグメントなし","","2","影響しなかった","","マイナスに影響した","10年以上働いている者として、自身が置かれている状況が物語っています。店長でもなくただの社員です。長年店長でもそれ以上のポジションについている人はいません。
去年も同じようなことを書いたのですが、やはり変化はなかったです。
ブランドによっても違うと思いますが、George’s では頭打ち感があります。
ここ数年でPA2年くらいで社員昇格し、タイミングによってはすぐに店長になっているひとがいます。ここ数年では夢のある話ですが、長年いる者としてはその変化の波に乗れずにいます。","マイナスに影響した","","影響しなかった","","影響しなかった","","マイナスに影響した","評価されていないので、今の状況がある。
自身がどういう評価を受けているのかわからない。","非常にマイナスに影響した","10年以上働いていて年収300万を超えない","マイナスに影響した","入社して数年は成長を感じることはあると思うが、長年働いていて成長を感じることはない。
自身の能力を発揮しようという思考から、後輩メンバーのサポートにという思考になる。
後輩メンバーの成長をサポートする役目だと思う。","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","マイナスに影響した","最近はやりがいを感じていない。
10年以上働いて40代になって、キラキラ働いている世代は終わったかなと思う。
","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","マイナスに影響した","","マイナスに影響した","昇格の仕方がわかりません。
ポジションが空くチャンスがあるかどうかで店長にはなれるが、その上はない。","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","いない","半年以上1年以内くらい","良い企画だったとは思わない。","","少しは進んでいるように感じる。","","知らない","したい","所得を増やしたい","","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"ynWu3VvSJi","2019/06/12 21:15:56","セグメントなし","","6","影響しなかった","","ややプラスに影響した","事業計画等会社が大きくなっている実感を感じる為","影響しなかった","","影響しなかった","","影響しなかった","","ややマイナスに影響した","自己評価と上長からの評価にギャップを感じる","マイナスに影響した","給与テーブルにみたない給与である為。","影響しなかった","","影響しなかった","","影響しなかった","","ややプラスに影響した","店舗メンバーとの関係が良好と思っている","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","プラスに影響した","お客様からブランドに対する期待値を感じる。","ややプラスに影響した","適正だと思う","ややマイナスに影響した","ミッションシートの上がり幅が少ないと感じる","ややマイナスに影響した","昇格しやすいとは思わない","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","いない","今のところ退職は考えていない","良い企画だったとは思わない。","実際にやるのは現場なのにキックオフは上長から簡単に説明されただけ。温度感があったのは否めない。","少しは進んでいるように感じる。","自身も意識して取り組んでいる","知っている","どちらともいえない","","飲食","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"TrDgIToq6Y","2019/06/12 20:37:05","セグメントなし","","2","非常にプラスに影響した","目指しているところは非常に共感できるから。","ややマイナスに影響した","現在所属しているブランドでの主要メンバーの離職率の高さを痛感したから。","ややプラスに影響した","目指しているところに関しては共感しているから。","ややプラスに影響した","特にマイナス面を感じないから。","非常にマイナスに影響した","周囲のメンバーの残業時間の多さが非常に気になるから。","非常にマイナスに影響した","様々な要因があるというのは分かっているが、店舗別やカテゴリー別で予算を大幅に達成していても何も評価されていないから。","マイナスに影響した","店舗別やカテゴリー別で予算を大幅に達成しているにも関わらず、報酬に反映","非常にマイナスに影響した","日々店舗を運営するための業務(検品や品出し業務)に多くの時間を割かれてしまっており、就業時間内のみでは接客や個人のスキルアップに十分な時間を割くことが出来ていないから。","影響しなかった","","ややマイナスに影響した","本音を言える(言われている)環境ではないから。","マイナスに影響した","一部のメンバーと私との関係性が悪く(詳細の理由は分かりません。まともに会話すらしないため)、そのメンバー自身の機嫌次第で周りのメンバーにまで悪影響を及ぼしているため。","ややプラスに影響した","小まめな連絡を取り合っており、上手く連携が取れていると感じているから。","ややマイナスに影響した","日々検品や品出しといった業務に追われているため、それについては特にやりがいを感じないから。","ややマイナスに影響した","他企業と比較して、特別に良い待遇ということは感じたことがないから。","非常にプラスに影響した","比較的清潔感のある職場だと感じているから。","非常にマイナスに影響した","「残業は美徳」のような流れが残っており、「残業して当たり前」や「なんで残業せずして退勤するのか」といった雰囲気が蔓延しているから。","ややプラスに影響した","小さいつくり手さんと連携したり、地方企業にスポットを当てた商品の選定に共感しているから。","影響しなかった","","非常にマイナスに影響した","残業をしている人が非常に多いから。","非常にマイナスに影響した","ポジションが上がって業務量が非常に増えるにも関わらず、それに見合わない微々たる昇給しかしなかった実績を知り、昇給の難しさを痛感","非常にマイナスに影響した","ポジションが上がって業務量が非常に増えるにも関わらず、それに見合わない微々たる昇給しかしなかった実績を知り、昇給の難しさを痛感","ややプラスに影響した","ポジションや雇用形態に関わらず、同じような裁量権を持っていると感じているから。","ややプラスに影響した","新卒の方や自社の展開しているサービスのような業界にこれまで経験したことのない方にとっては、非常に勉強になる研修を行っていると感じているから。","ややプラスに影響した","ウェブ上で給与明細書を確認できるなど利便性が高くなってきているから。","影響しなかった","","いない","出来る限りすぐやめたい","良い企画だったとは思わない。","日々の業務が多い中で、特にバームリーダーには更に業務が増え残業に繋がっているため。","進んでいるようには感じない。","特に何も感じないため。","知っている","したい","所得を増やしたい","まだ分からない。","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"mPw81wHoae","2019/06/12 20:15:26","セグメントなし","","4","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","ややマイナスに影響した","人員数にもよるが、社員が少ない分自分自身だけでなくPAメンバーに対する仕事量(負担)が大きくなっているように感じたため","影響しなかった","","ややマイナスに影響した","","影響しなかった","","影響しなかった","","プラスに影響した","相談し合える関係が常に取れるだけでなく、お互いが刺激になっているため","ややプラスに影響した","PAメンバーからも様々な提案が生まれ、相談や実践などが行えているため","ややマイナスに影響した","実際に店舗へいらっしゃる機会が少なく感じているため","ややプラスに影響した","好きなこと仕事にできていると感じているため","ややマイナスに影響した","","影響しなかった","","影響しなかった","","影響しなかった","","ややマイナスに影響した","友人・知人に話を聞くと、DDの認知度は高いがデザインのブランド知名度を低く感じたため","ややマイナスに影響した","人員が少ない分、残業や通しが増えているため","ややマイナスに影響した","","ややマイナスに影響した","","マイナスに影響した","","影響しなかった","","影響しなかった","","影響しなかった","","いない","今のところ退職は考えていない","良い企画だった。","特に、新人メンバーがどんな気持ちで活躍していこう(頑張りたい)と思っていてそのためにどんな事をしようとしているのかが見える化できたため","進んでいるようには感じない。","","知らない","したいとは思わない","","","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"4m2sx2Gwy6","2019/06/12 19:59:42","セグメントなし","","2","ややプラスに影響した","","ややプラスに影響した","","ややプラスに影響した","","ややプラスに影響した","","影響しなかった","","プラスに影響した","","影響しなかった","","ややプラスに影響した","","プラスに影響した","","プラスに影響した","","プラスに影響した","","ややプラスに影響した","","プラスに影響した","","影響しなかった","","プラスに影響した","","ややプラスに影響した","","ややプラスに影響した","","プラスに影響した","","影響しなかった","","ややプラスに影響した","","ややプラスに影響した","","影響しなかった","","ややプラスに影響した","","影響しなかった","","影響しなかった","","いない","１年以上3年以内くらい","非常に良い企画だった。","スタッフの目標を知ることができました。
","少しは進んでいるように感じる。","","知らない","したい","所得を増やしたい","アーティスト活動","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
